name	TF
TFDP2	yes
TFDP3	yes
EBF1	yes
EBF2	yes
EBF3	yes
EBF4	yes
EHF	yes
ELF1	yes
ELF2	yes
ELF4	yes
ELF5	yes
ELK1	yes
ELK3	yes
ELK4	yes
ERF	yes
ERG	yes
ETS1	yes
ETS2	yes
ETV1	yes
ETV2	yes
ETV3	yes
ETV3L	yes
ETV4	yes
ETV5	yes
ETV6	yes
ETV7	yes
FEV	yes
FLI1	yes
GABPA	yes
SPDEF	yes
SPI1	yes
SPIB	yes
SPIC	yes
ELF3	yes
FLYWCH1	yes
FOXA1	yes
FOXA2	yes
FOXA3	yes
FOXB1	yes
FOXB2	yes
FOXC1	yes
FOXC2	yes
FOXD1	yes
FOXD2	yes
FOXD3	yes
FOXD4	yes
FOXD4L1	yes
FOXD4L3	yes
FOXD4L4	yes
FOXD4L5	yes
FOXD4L6	yes
FOXE1	yes
FOXE3	yes
FOXF1	yes
FOXF2	yes
FOXG1	yes
FOXH1	yes
FOXI1	yes
FOXI2	yes
FOXI3	yes
FOXJ1	yes
FOXJ2	yes
FOXJ3	yes
FOXK1	yes
FOXK2	yes
FOXL1	yes
FOXL2	yes
FOXM1	yes
FOXN1	yes
FOXN2	yes
FOXN3	yes
FOXN4	yes
FOXO1	yes
FOXO3	yes
FOXO4	yes
FOXO6	yes
FOXP1	yes
FOXP2	yes
FOXP3	yes
FOXP4	yes
FOXQ1	yes
FOXR1	yes
FOXR2	yes
FOXS1	yes
GATA1	yes
GATA2	yes
GATA3	yes
GATA4	yes
GATA5	yes
GATA6	yes
GATAD2A	yes
GATAD2B	yes
TRPS1	yes
ZGLP1	yes
GCM1	yes
GCM2	yes
GRHL1	yes
GRHL2	yes
GRHL3	yes
TFCP2	yes
TFCP2L1	yes
UBP1	yes
GTF2I	yes
GTF2IRD1	yes
GTF2IRD2	yes
GTF2IRD2B	yes
BBX	yes
CIC	yes
HBP1	yes
HMG20A	yes
HMG20B	yes
HMGN3	yes
LEF1	yes
SOX1	yes
SOX10	yes
SOX11	yes
SOX12	yes
SOX13	yes
SOX14	yes
SOX15	yes
SOX17	yes
SOX18	yes
SOX2	yes
SOX21	yes
SOX3	yes
SOX30	yes
SOX4	yes
SOX5	yes
SOX6	yes
SOX7	yes
SOX8	yes
SOX9	yes
SRY	yes
TCF7	yes
TCF7L1	yes
TCF7L2	yes
ADNP	yes
ADNP2	yes
ALX1	yes
ALX3	yes
ALX4	yes
ANHX	yes
ARGFX	yes
ARX	yes
BARHL1	yes
BARHL2	yes
BARX1	yes
BARX2	yes
BSX	yes
CDX1	yes
CDX2	yes
CDX4	yes
CRX	yes
DBX1	yes
DBX2	yes
DLX1	yes
DLX2	yes
DLX3	yes
DLX4	yes
DLX5	yes
DLX6	yes
DMBX1	yes
DPRX	yes
DRGX	yes
DUX1	yes
DUX3	yes
DUX4	yes
DUXA	yes
EMX1	yes
EMX2	yes
EN1	yes
EN2	yes
ESX1	yes
EVX1	yes
EVX2	yes
GBX1	yes
GBX2	yes
GSC	yes
GSC2	yes
GSX1	yes
GSX2	yes
HDX	yes
HESX1	yes
HHEX	yes
HLX	yes
HMBOX1	yes
HMX1	yes
HMX2	yes
HMX3	yes
HNF1A	yes
HNF1B	yes
HOMEZ	yes
HOXA1	yes
HOXA10	yes
HOXA11	yes
HOXA13	yes
HOXA2	yes
HOXA3	yes
HOXA4	yes
HOXA5	yes
HOXA6	yes
HOXA7	yes
HOXA9	yes
HOXB1	yes
HOXB13	yes
HOXB2	yes
HOXB3	yes
HOXB4	yes
HOXB5	yes
HOXB6	yes
HOXB7	yes
HOXB8	yes
HOXB9	yes
HOXC10	yes
HOXC11	yes
HOXC12	yes
HOXC13	yes
HOXC4	yes
HOXC5	yes
HOXC6	yes
HOXC8	yes
HOXC9	yes
HOXD1	yes
HOXD10	yes
HOXD11	yes
HOXD12	yes
HOXD13	yes
HOXD3	yes
HOXD4	yes
HOXD8	yes
HOXD9	yes
IRX1	yes
IRX2	yes
IRX3	yes
IRX4	yes
IRX5	yes
IRX6	yes
ISL1	yes
ISL2	yes
ISX	yes
LBX1	yes
LBX2	yes
LEUTX	yes
LHX1	yes
LHX2	yes
