SYMBOL	interaction	target	Neighbourhood
PHYHIPL	pp	C1	Cytosol
PICK1	pp	C1	Cytosol
PLCL2	pp	C1	Cytosol
PLEKHG2	pp	C1	Cytosol
PLIN3	pp	C1	Cytosol
PNMA1	pp	C1	Cytosol
POLR2H	pp	C1	Cytosol
POLR2M	pp	C1	Cytosol
PPM1H	pp	C1	Cytosol
PPP1R3D	pp	C1	Cytosol
PPP2R2D	pp	C1	Cytosol
PPP2R3A	pp	C1	Cytosol
PPP2R5A	pp	C1	Cytosol
PPP2R5E	pp	C1	Cytosol
PREPL	pp	C1	Cytosol
PRIMPOL	pp	C1	Cytosol
PRKAA1	pp	C1	Cytosol
PRKAG1	pp	C1	Cytosol
PRKCI	pp	C1	Cytosol
PRKD1	pp	C1	Cytosol
PRKD2	pp	C1	Cytosol
PRKD3	pp	C1	Cytosol
PRKX	pp	C1	Cytosol
PRR15	pp	C1	Cytosol
PRR5	pp	C1	Cytosol
PRR5L	pp	C1	Cytosol
PSMA1	pp	C1	Cytosol
PSMA3	pp	C1	Cytosol
PSMA4	pp	C1	Cytosol
PSMA5	pp	C1	Cytosol
PSMA6	pp	C1	Cytosol
PSMA7	pp	C1	Cytosol
PSMB1	pp	C1	Cytosol
PSMB10	pp	C1	Cytosol
PSMB2	pp	C1	Cytosol
PSMB3	pp	C1	Cytosol
PSMB4	pp	C1	Cytosol
PSMB5	pp	C1	Cytosol
PSMB7	pp	C1	Cytosol
PSMB8	pp	C1	Cytosol
PSMB9	pp	C1	Cytosol
PSMC1	pp	C1	Cytosol
PSMC2	pp	C1	Cytosol
PSMC3	pp	C1	Cytosol
PSMC4	pp	C1	Cytosol
PSMC5	pp	C1	Cytosol
PSMC6	pp	C1	Cytosol
PSMD1	pp	C1	Cytosol
PSMD11	pp	C1	Cytosol
PSMD12	pp	C1	Cytosol
PSMD13	pp	C1	Cytosol
PSMD14	pp	C1	Cytosol
PSMD2	pp	C1	Cytosol
PSMD3	pp	C1	Cytosol
PSMD5	pp	C1	Cytosol
PSMD6	pp	C1	Cytosol
PSMD7	pp	C1	Cytosol
PSMD8	pp	C1	Cytosol
PSME4	pp	C1	Cytosol
PTK2	pp	C1	Cytosol
PTK2B	pp	C1	Cytosol
PTPDC1	pp	C1	Cytosol
PTPN23	pp	C1	Cytosol
PYGB	pp	C1	Cytosol
PZP	pp	C1	Cytosol
QTRTD1	pp	C1	Cytosol
R3HCC1	pp	C1	Cytosol
RAB28	pp	C1	Cytosol
RAB3GAP1	pp	C1	Cytosol
RAB3GAP2	pp	C1	Cytosol
RAB3IL1	pp	C1	Cytosol
RABGAP1	pp	C1	Cytosol
RAF1	pp	C1	Cytosol
RANGRF	pp	C1	Cytosol
RAPGEF2	pp	C1	Cytosol
REP15	pp	C1	Cytosol
RFESD	pp	C1	Cytosol
RGL2	pp	C1	Cytosol
RICTOR	pp	C1	Cytosol
RIN2	pp	C1	Cytosol
RINL	pp	C1	Cytosol
RIOK2	pp	C1	Cytosol
RNF126	pp	C1	Cytosol
RNF141	pp	C1	Cytosol
RPAP2	pp	C1	Cytosol
RPGR	pp	C1	Cytosol
RPS6KB2	pp	C1	Cytosol
RRAGD	pp	C1	Cytosol
RTKN	pp	C1	Cytosol
RWDD2A	pp	C1	Cytosol
SASS6	pp	C1	Cytosol
SDCBP	pp	C1	Cytosol
SEC14L1	pp	C1	Cytosol
SEC14L3	pp	C1	Cytosol
SEC23IP	pp	C1	Cytosol
SEC24A	pp	C1	Cytosol
SH3BP5	pp	C1	Cytosol
SH3BP5L	pp	C1	Cytosol
SH3GLB1	pp	C1	Cytosol
SHQ1	pp	C1	Cytosol
SI	pp	C1	Cytosol
SKIV2L	pp	C1	Cytosol
SLC22A8	pp	C1	Cytosol
SLC35G1	pp	C1	Cytosol
SMCR8	pp	C1	Cytosol
SMURF2	pp	C1	Cytosol
SMYD4	pp	C1	Cytosol
SNAP29	pp	C1	Cytosol
SNF8	pp	C1	Cytosol
SNUPN	pp	C1	Cytosol
SNX1	pp	C1	Cytosol
SNX10	pp	C1	Cytosol
SNX17	pp	C1	Cytosol
SNX2	pp	C1	Cytosol
SNX24	pp	C1	Cytosol
SNX5	pp	C1	Cytosol
SNX6	pp	C1	Cytosol
SOX3	pp	C1	Cytosol
SPATA33	pp	C1	Cytosol
SPATA5	pp	C1	Cytosol
SPATA5L1	pp	C1	Cytosol
SPC25	pp	C1	Cytosol
SPG20	pp	C1	Cytosol
SRGAP3	pp	C1	Cytosol
STARD13	pp	C1	Cytosol
STAT3	pp	C1	Cytosol
STAT5A	pp	C1	Cytosol
STK10	pp	C1	Cytosol
STRADA	pp	C1	Cytosol
SYAP1	pp	C1	Cytosol
SYCE2	pp	C1	Cytosol
SYK	pp	C1	Cytosol
SYT14	pp	C1	Cytosol
TANGO6	pp	C1	Cytosol
TARBP1	pp	C1	Cytosol
TBC1D14	pp	C1	Cytosol
TBC1D17	pp	C1	Cytosol
TBC1D32	pp	C1	Cytosol
